frame,joint_0_x,joint_0_y,joint_1_x,joint_1_y,joint_2_x,joint_2_y,joint_3_x,joint_3_y,joint_4_x,joint_4_y,joint_5_x,joint_5_y,joint_6_x,joint_6_y,joint_7_x,joint_7_y,joint_8_x,joint_8_y,joint_9_x,joint_9_y,joint_10_x,joint_10_y,joint_11_x,joint_11_y,joint_12_x,joint_12_y,joint_13_x,joint_13_y,joint_14_x,joint_14_y,joint_15_x,joint_15_y,joint_16_x,joint_16_y,joint_17_x,joint_17_y,joint_18_x,joint_18_y,joint_19_x,joint_19_y,joint_20_x,joint_20_y,joint_21_x,joint_21_y,joint_22_x,joint_22_y,joint_23_x,joint_23_y,joint_24_x,joint_24_y
0,-0.06743361,1.6063852,-0.06769343,1.4691693,0.0851159,1.3791826,0.09750777,1.1200696,0.14792982,0.9198444,-0.22907957,1.4020195,-0.27824274,1.1390791,-0.30552784,0.9292238,-0.0708391,0.97071743,0.008740425,0.87101865,0.041283928,0.5011512,0.034433283,0.12635863,-0.14547175,0.872004,-0.16741216,0.4989941,-0.1740604,0.1145128,-0.024378814,1.6532578,-0.08832857,1.658482,,,,,-0.1989232,0.07016659,,,,,0.05699142,0.07994926,,,,
1,-0.067504,1.6063321,-0.067729294,1.469117,0.08511717,1.3792428,0.09742854,1.1201262,0.14780542,0.91992885,-0.22909293,1.4020852,-0.27828127,1.1391062,-0.30572036,0.92943853,-0.070726894,0.9706646,0.008876085,0.8709661,0.04135572,0.50108075,0.03450223,0.12626398,-0.14534515,0.87194407,-0.16705844,0.4988805,-0.17404419,0.11441976,-0.024540678,1.6532204,-0.088498645,1.6584637,,,,,-0.19892919,0.07017237,,,,,0.057039596,0.07971394,,,,
2,-0.06742465,1.6063626,-0.067681186,1.4691463,0.085196346,1.379319,0.09733331,1.1201952,0.14777851,0.92000866,-0.22904798,1.4021487,-0.2781205,1.1391315,-0.30560094,0.92946637,-0.07065302,0.9706885,0.008965753,0.87097037,0.041228287,0.50108635,0.034601927,0.12625319,-0.1452721,0.87197703,-0.16679035,0.49893284,-0.17391889,0.114472985,-0.024357203,1.6531868,-0.088304766,1.6584824,,,,,-0.19894227,0.07028055,,,,,0.057330266,0.07985258,,,,
3,-0.06730505,1.6063292,-0.06766566,1.4691367,0.08520759,1.3793198,0.09711491,1.1201835,0.14773354,0.920011,-0.22902566,1.4022105,-0.2782023,1.1392032,-0.30567324,0.9295703,-0.07055541,0.97068346,0.009070337,0.8709374,0.0411043,0.50111806,0.0346156,0.12627661,-0.14517364,0.871964,-0.16642343,0.49919957,-0.17371868,0.11470759,-0.024206743,1.6532291,-0.08815199,1.6584927,,,,,-0.19901305,0.0704968,,,,,0.057381548,0.07983923,,,,
4,-0.06749778,1.6063524,-0.06797611,1.46914,0.084726386,1.3790333,0.096555255,1.1198962,0.14773077,0.9198599,-0.22950238,1.4022754,-0.27831426,1.1391635,-0.30599454,0.9297341,-0.070915096,0.97063285,0.008896492,0.87103665,0.04122699,0.50120044,0.03468085,0.12636405,-0.14535831,0.8717955,-0.16644168,0.49880356,-0.17373732,0.114316165,-0.024365768,1.6531844,-0.08830622,1.6585584,,,,,-0.19867706,0.07019746,,,,,0.057186343,0.07966137,,,,
5,-0.067002796,1.6058018,-0.06605284,1.4690633,0.08522333,1.3797487,0.1061572,1.121182,0.14830583,0.9195253,-0.22923452,1.4012768,-0.28281778,1.1392117,-0.30104828,0.9298183,-0.07448308,0.97041214,0.006059952,0.8705808,0.041929543,0.50146866,0.034926668,0.12652981,-0.14850849,0.8714154,-0.16653368,0.49789932,-0.17586304,0.113444984,-0.023616958,1.6546102,-0.087536395,1.659303,,,,,-0.19902584,0.06949347,,,,,0.056868494,0.079619765,,,,
6,-0.067051455,1.6057858,-0.06602013,1.4690468,0.085293874,1.3798355,0.10671896,1.1213086,0.14845306,0.9196972,-0.22913437,1.4011948,-0.28285342,1.1391981,-0.30073607,0.9297055,-0.07440926,0.9703677,0.0061582327,0.87057674,0.041939065,0.50144124,0.03517709,0.12650222,-0.14841002,0.87136465,-0.16634119,0.49784535,-0.17587322,0.11339021,-0.023624048,1.6546323,-0.087539166,1.6593378,,,,,-0.19888185,0.06947565,,,,,0.057065323,0.079672456,,,,
7,-0.067169935,1.6057532,-0.06591137,1.4690259,0.08558821,1.3799841,0.10757878,1.1215065,0.14820352,0.9196819,-0.22882679,1.4010503,-0.2831791,1.1391841,-0.30078074,0.9296459,-0.074239634,0.9703609,0.0062437877,0.87053126,0.04181727,0.50135434,0.035147153,0.12641215,-0.14831889,0.87142134,-0.16633132,0.49788803,-0.17590949,0.113441765,-0.023799881,1.654654,-0.08772084,1.6593354,,,,,-0.19894156,0.06942189,,,,,0.057055302,0.07952881,,,,
8,-0.06726814,1.6057558,-0.065897875,1.4690262,0.085719444,1.3800884,0.107898824,1.1216274,0.14796323,0.91961145,-0.22868645,1.400973,-0.28327835,1.139142,-0.30100513,0.9297048,-0.07417207,0.970358,0.006244682,0.8704969,0.041740917,0.5013193,0.034999475,0.12637496,-0.14831099,0.8714595,-0.1663647,0.49795955,-0.17593297,0.11351347,-0.023903437,1.6546378,-0.08782506,1.6593366,,,,,-0.19898126,0.06930816,,,,,0.056548215,0.07915801,,,,
9,-0.06704711,1.6057049,-0.06572589,1.4690297,0.085589565,1.3800621,0.107866205,1.1216059,0.14802793,0.919505,-0.2287946,1.4010749,-0.2830095,1.1391575,-0.3007208,0.92964095,-0.07593729,0.97039247,0.004313633,0.87056494,0.041543625,0.50145996,0.035033524,0.12655568,-0.15016726,0.87148255,-0.16640729,0.49813017,-0.17612052,0.11365974,-0.023765069,1.6549062,-0.08769444,1.6595078,,,,,-0.19906867,0.069422185,,,,,0.056096025,0.078960836,,,,
