frame,joint_0_x,joint_0_y,joint_1_x,joint_1_y,joint_2_x,joint_2_y,joint_3_x,joint_3_y,joint_4_x,joint_4_y,joint_5_x,joint_5_y,joint_6_x,joint_6_y,joint_7_x,joint_7_y,joint_8_x,joint_8_y,joint_9_x,joint_9_y,joint_10_x,joint_10_y,joint_11_x,joint_11_y,joint_12_x,joint_12_y,joint_13_x,joint_13_y,joint_14_x,joint_14_y,joint_15_x,joint_15_y,joint_16_x,joint_16_y,joint_17_x,joint_17_y,joint_18_x,joint_18_y,joint_19_x,joint_19_y,joint_20_x,joint_20_y,joint_21_x,joint_21_y,joint_22_x,joint_22_y,joint_23_x,joint_23_y,joint_24_x,joint_24_y
0,-0.36138305,1.5502785,-0.34407505,1.4086013,-0.16571066,1.3743968,0.08623165,1.3112254,0.32810575,1.3365053,-0.5530247,1.3828988,-0.78951436,1.2935421,-1.0408428,1.340442,-0.35810962,0.88568926,-0.28948805,0.77350587,-0.22656536,0.44214576,-0.2520088,0.051625133,-0.42225084,0.7829011,-0.4998722,0.4362949,-0.45841205,0.052662134,-0.339403,1.6098384,-0.40678963,1.6087382,,,,,-0.54051065,0.018274248,,,,,-0.17416285,0.008764923,,,,
1,-0.36160108,1.5502653,-0.34412846,1.4085603,-0.16578235,1.3745503,0.086103946,1.3111762,0.3280342,1.3364305,-0.553216,1.3824944,-0.78990626,1.2928566,-1.0410861,1.3406252,-0.35809946,0.88564736,-0.28949767,0.7734519,-0.2265729,0.44208875,-0.25197017,0.051520705,-0.42225438,0.7828771,-0.49997735,0.4362637,-0.45836735,0.052637637,-0.33981678,1.6101575,-0.40719265,1.6090064,,,,,-0.540475,0.018215358,,,,,-0.17406791,0.008815289,,,,
2,-0.36174372,1.5503259,-0.34424117,1.4085376,-0.16587672,1.3743567,0.08606663,1.3112798,0.32795355,1.3362017,-0.55315727,1.3827236,-0.7896725,1.2934961,-1.0409225,1.3408316,-0.3581624,0.885621,-0.28956142,0.7734249,-0.22663714,0.44205493,-0.25196034,0.05146724,-0.42231575,0.78285414,-0.500066,0.4362296,-0.45835876,0.052598774,-0.3401714,1.6105285,-0.4075327,1.609383,,,,,-0.5404831,0.018169284,,,,,-0.17404135,0.008825183,,,,
3,-0.36179337,1.550397,-0.34425053,1.408574,-0.16589549,1.3745329,0.08596328,1.3111289,0.32787728,1.3360906,-0.5532832,1.3825359,-0.7899246,1.2930838,-1.04108,1.3409804,-0.3581784,0.8856349,-0.2896002,0.7734246,-0.22666338,0.44205076,-0.25192297,0.051439166,-0.4223506,0.7828832,-0.5001107,0.43624544,-0.45835152,0.05260086,-0.34035623,1.6108024,-0.40770572,1.6097056,,,,,-0.5404705,0.018160105,,,,,-0.17403278,0.008868575,,,,
4,-0.36185303,1.5504385,-0.3443057,1.4085739,-0.16595899,1.3745149,0.08589348,1.31111,0.3278093,1.3359427,-0.55331093,1.3825572,-0.78992856,1.2932177,-1.0410665,1.3412008,-0.35821325,0.8856235,-0.28964508,0.773407,-0.22670648,0.44202715,-0.2519077,0.051395595,-0.42239246,0.78288037,-0.50017536,0.4362316,-0.45834398,0.052577555,-0.3405082,1.6110369,-0.4078499,1.6099558,,,,,-0.54046667,0.018127859,,,,,-0.17402053,0.008877575,,,,
5,-0.3619142,1.5504551,-0.34435934,1.4085702,-0.16602653,1.374538,0.08580628,1.3110788,0.3277355,1.3358136,-0.55333424,1.3825957,-0.7899779,1.2933177,-1.0411011,1.3413806,-0.35824895,0.8856055,-0.28969082,0.7733827,-0.22674495,0.4419983,-0.25189495,0.051345885,-0.42243516,0.7828708,-0.5002371,0.43621016,-0.4583366,0.052547276,-0.3406159,1.6111943,-0.4079529,1.6101314,,,,,-0.5404656,0.01808691,,,,,-0.17401177,0.008876741,,,,
6,-0.3619341,1.5504711,-0.34439838,1.408571,-0.16606182,1.3745146,0.08575758,1.3110462,0.32769352,1.3356774,-0.5533656,1.3825934,-0.78999203,1.2934105,-1.0410897,1.3416024,-0.3582736,0.88559836,-0.2897186,0.7733736,-0.22677314,0.4419834,-0.251877,0.051309764,-0.4224605,0.78286827,-0.5002978,0.4361991,-0.4583289,0.052529454,-0.34065223,1.6113067,-0.4079866,1.6102657,,,,,-0.5404647,0.018060982,,,,,-0.17399308,0.008884013,,,,
7,-0.3619508,1.5504718,-0.34443963,1.4085704,-0.16609976,1.3745033,0.085701525,1.3109999,0.32765093,1.3355515,-0.5533876,1.382618,-0.7900281,1.2935154,-1.0411143,1.3417653,-0.3583045,0.8855916,-0.2897535,0.77336437,-0.226801,0.44197097,-0.25187257,0.051282167,-0.4224937,0.78286546,-0.50035715,0.43619204,-0.45833796,0.05251503,-0.34064046,1.6113176,-0.4079758,1.6102974,,,,,-0.5404737,0.018037438,,,,,-0.17399234,0.008878827,,,,
8,-0.36197108,1.5504768,-0.34450692,1.4085774,-0.16615404,1.374522,0.08560854,1.3109326,0.32758212,1.3354039,-0.5534424,1.3826125,-0.7901175,1.2935936,-1.0411841,1.341949,-0.3583372,0.88558704,-0.28979462,0.77335465,-0.2268253,0.4419569,-0.25184795,0.051247,-0.42253208,0.7828683,-0.500427,0.43618605,-0.45833552,0.052496612,-0.34059715,1.6113131,-0.40793425,1.6103487,,,,,-0.5404646,0.018005908,,,,,-0.17397988,0.0088633895,,,,
9,-0.36197793,1.5504873,-0.3445614,1.4085956,-0.16618893,1.3745532,0.085528255,1.3108428,0.32753092,1.3352475,-0.5535164,1.3825599,-0.79024374,1.29359,-1.0412765,1.342125,-0.35836437,0.88559294,-0.28983107,0.7733549,-0.22685444,0.44195226,-0.25183326,0.051224113,-0.42256615,0.7828817,-0.50048494,0.43619177,-0.45834678,0.05249095,-0.34054184,1.6113067,-0.40788049,1.6103991,,,,,-0.5404684,0.017997742,,,,,-0.17398345,0.008852065,,,,
