frame,joint_0_x,joint_0_y,joint_1_x,joint_1_y,joint_2_x,joint_2_y,joint_3_x,joint_3_y,joint_4_x,joint_4_y,joint_5_x,joint_5_y,joint_6_x,joint_6_y,joint_7_x,joint_7_y,joint_8_x,joint_8_y,joint_9_x,joint_9_y,joint_10_x,joint_10_y,joint_11_x,joint_11_y,joint_12_x,joint_12_y,joint_13_x,joint_13_y,joint_14_x,joint_14_y,joint_15_x,joint_15_y,joint_16_x,joint_16_y,joint_17_x,joint_17_y,joint_18_x,joint_18_y,joint_19_x,joint_19_y,joint_20_x,joint_20_y,joint_21_x,joint_21_y,joint_22_x,joint_22_y,joint_23_x,joint_23_y,joint_24_x,joint_24_y
0,-0.37513882,1.6360338,-0.36812764,1.4817171,-0.22060853,1.450298,0.06668174,1.4373825,0.30703464,1.4597702,-0.5296279,1.447046,-0.8231101,1.3872945,-1.0609946,1.4079185,-0.38433826,0.955921,-0.3143736,0.8543224,-0.26982963,0.47015446,-0.27138153,0.08114922,-0.45426404,0.85879284,-0.49722174,0.47184747,-0.5057126,0.07346475,-0.33075228,1.6904615,-0.39348653,1.6965697,,,,,-0.58117753,0.0374254,,,,,-0.20147394,0.036803126,,,,
1,-0.37526986,1.6360064,-0.3682113,1.4817073,-0.22079179,1.4505061,0.06648907,1.437373,0.30685332,1.459614,-0.5296412,1.4471148,-0.82312787,1.387387,-1.0609564,1.4081175,-0.38434005,0.95588666,-0.31448716,0.85424244,-0.27008873,0.46997538,-0.27256262,0.08093774,-0.45437148,0.8588494,-0.49733287,0.47189,-0.5057502,0.07348919,-0.33081955,1.6904863,-0.39354578,1.6966162,,,,,-0.5812808,0.03749907,,,,,-0.20198035,0.036748767,,,,
2,-0.37529805,1.63603,-0.36821318,1.4816802,-0.22074558,1.4503853,0.06653768,1.4373007,0.30693376,1.4593818,-0.52966595,1.4470439,-0.82319194,1.3875232,-1.0610211,1.408187,-0.3844243,0.9558699,-0.3145564,0.85421646,-0.2701697,0.47000182,-0.2724599,0.080947936,-0.45444193,0.85881317,-0.49733812,0.47190714,-0.5058572,0.073488176,-0.33085984,1.6905506,-0.39358747,1.6966726,,,,,-0.5811954,0.037387133,,,,,-0.20181432,0.03691691,,,,
3,-0.375549,1.6360909,-0.36832508,1.4817142,-0.22084704,1.4503922,0.06643736,1.4373212,0.30686244,1.4592538,-0.52980506,1.447056,-0.82333183,1.3875513,-1.061119,1.4083409,-0.3844881,0.9558978,-0.31462157,0.8542405,-0.27009118,0.47004834,-0.27170277,0.081034005,-0.4545135,0.8588566,-0.49740195,0.47190446,-0.5058247,0.07348639,-0.33112425,1.6905534,-0.39385343,1.6966555,,,,,-0.5813256,0.037540436,,,,,-0.20167048,0.036831558,,,,
4,-0.3755487,1.6360819,-0.3684003,1.481713,-0.22091922,1.4503741,0.06636885,1.4373868,0.30681592,1.4592932,-0.5298417,1.4471236,-0.82338065,1.38769,-1.061159,1.4085888,-0.38453642,0.9559196,-0.314649,0.8542725,-0.2701943,0.4700825,-0.27203465,0.081035435,-0.45453858,0.8588536,-0.49734074,0.47192574,-0.50585055,0.07349491,-0.3311077,1.690556,-0.3938349,1.6966662,,,,,-0.58137333,0.037593782,,,,,-0.20174341,0.036839902,,,,
5,-0.3756371,1.6360943,-0.36848387,1.4817154,-0.22100222,1.4503782,0.06628394,1.4373461,0.30674165,1.4592822,-0.52990884,1.4471483,-0.823455,1.387764,-1.0612086,1.4087616,-0.38458845,0.95592785,-0.31470358,0.8542783,-0.27025402,0.47009456,-0.27208585,0.08103436,-0.45459306,0.8588633,-0.49735594,0.47194126,-0.50587,0.073499024,-0.33118746,1.6905757,-0.39391342,1.6966823,,,,,-0.5814215,0.037641406,,,,,-0.20175777,0.03684795,,,,
6,-0.37572083,1.6361108,-0.36856407,1.4817196,-0.22107476,1.4503651,0.06621045,1.4373084,0.30668044,1.4592702,-0.5299791,1.4471693,-0.82353383,1.3878412,-1.061267,1.4089322,-0.3846446,0.95594054,-0.31475377,0.85429186,-0.27029648,0.47012222,-0.272034,0.08105266,-0.45464367,0.85887045,-0.49736148,0.47195476,-0.5058872,0.0735026,-0.33126572,1.6905925,-0.39399093,1.6966932,,,,,-0.5814613,0.037684917,,,,,-0.20173243,0.03685832,,,,
7,-0.37580433,1.6361258,-0.3686478,1.4817257,-0.22115433,1.4503604,0.0661298,1.4372829,0.30661365,1.4592526,-0.53004897,1.4471986,-0.8236116,1.3879237,-1.0613261,1.4091064,-0.38469696,0.95595515,-0.31480148,0.8543081,-0.27033538,0.47014794,-0.27199513,0.08107126,-0.45469162,0.8588811,-0.49736732,0.47196788,-0.50589967,0.073508084,-0.33134073,1.6906039,-0.39406472,1.696697,,,,,-0.58150625,0.03773743,,,,,-0.20172092,0.036856234,,,,
8,-0.3758735,1.6361377,-0.3687267,1.48173,-0.22122991,1.450355,0.06605315,1.4372536,0.30654985,1.459238,-0.5301118,1.4472288,-0.8236828,1.3880072,-1.0613812,1.4092779,-0.3847488,0.9559685,-0.31485,0.85432315,-0.27038196,0.47017142,-0.27201268,0.08108324,-0.45473957,0.85889006,-0.4973705,0.47198272,-0.50591236,0.0735144,-0.3313989,1.6906153,-0.39412135,1.6967015,,,,,-0.5815393,0.03777647,,,,,-0.20172071,0.036860406,,,,
9,-0.37594536,1.636152,-0.3688049,1.4817352,-0.22130403,1.450351,0.0659771,1.4372103,0.30648565,1.4592113,-0.5301761,1.4472547,-0.8237548,1.3880831,-1.0614383,1.4094365,-0.3847994,0.95598096,-0.31489867,0.85433775,-0.27041858,0.4701948,-0.27200127,0.08109623,-0.4547876,0.85889983,-0.49738222,0.47199565,-0.5059207,0.07351977,-0.33145934,1.690628,-0.39418012,1.6967045,,,,,-0.58156705,0.03780985,,,,,-0.2017133,0.0368644,,,,
