frame,joint_0_x,joint_0_y,joint_1_x,joint_1_y,joint_2_x,joint_2_y,joint_3_x,joint_3_y,joint_4_x,joint_4_y,joint_5_x,joint_5_y,joint_6_x,joint_6_y,joint_7_x,joint_7_y,joint_8_x,joint_8_y,joint_9_x,joint_9_y,joint_10_x,joint_10_y,joint_11_x,joint_11_y,joint_12_x,joint_12_y,joint_13_x,joint_13_y,joint_14_x,joint_14_y,joint_15_x,joint_15_y,joint_16_x,joint_16_y,joint_17_x,joint_17_y,joint_18_x,joint_18_y,joint_19_x,joint_19_y,joint_20_x,joint_20_y,joint_21_x,joint_21_y,joint_22_x,joint_22_y,joint_23_x,joint_23_y,joint_24_x,joint_24_y
0,2.753374,1.440006,2.8027964,1.3132844,2.774373,1.2214633,2.8324113,0.97552526,2.850206,0.77968687,2.8791733,1.2594225,2.9126642,0.9937452,2.8628843,0.78895605,2.7750006,0.8253263,2.7116215,0.74796665,2.5452702,0.45082402,2.5785322,0.08311963,2.8254197,0.71290374,2.9713411,0.4267261,3.0874226,0.10147196,2.6661851,1.4691339,2.706361,1.4785556,,,,,3.0429513,0.029938102,,,,,2.5081463,0.041373074,,,,
0,-0.062360063,1.6052635,-0.08050521,1.4717087,0.032393873,1.3856323,0.04123944,1.127324,0.14721179,0.92721176,-0.20322108,1.4065527,-0.25478348,1.1424481,-0.22313035,0.93493396,-0.07890555,0.97441703,-0.025320373,0.8731243,-0.015257314,0.5044291,-0.024541404,0.128936,-0.14342308,0.8756536,-0.17765504,0.50016356,-0.19764102,0.11586243,0.014062822,1.6470225,-0.03616665,1.6537626,,,,,-0.14700282,0.07507253,,,,,0.061176494,0.08256894,,,,
0,-0.06743361,1.6063852,-0.06769343,1.4691693,0.0851159,1.3791826,0.09750777,1.1200696,0.14792982,0.9198444,-0.22907957,1.4020195,-0.27824274,1.1390791,-0.30552784,0.9292238,-0.0708391,0.97071743,0.008740425,0.87101865,0.041283928,0.5011512,0.034433283,0.12635863,-0.14547175,0.872004,-0.16741216,0.4989941,-0.1740604,0.1145128,-0.024378814,1.6532578,-0.08832857,1.658482,,,,,-0.1989232,0.07016659,,,,,0.05699142,0.07994926,,,,
0,0.54954064,1.5915911,0.5545907,1.4474084,0.74763507,1.3373401,0.75070417,1.0706055,0.7964644,0.8409356,0.32098892,1.3612726,0.32034948,1.1040692,0.26335335,0.8795084,0.5310898,0.941266,0.59255993,0.83102894,0.6583168,0.47242552,0.648278,0.05670601,0.47290817,0.84177995,0.39262518,0.4665587,0.44519654,0.064581096,0.5687107,1.6197816,0.50136787,1.6213894,,,,,0.3571909,0.013909221,,,,,0.712045,0.0068417788,,,,
1,2.7445655,1.4381336,2.792947,1.3111056,2.762495,1.2178656,2.8173196,0.9707089,2.8354678,0.77393883,2.8698425,1.2574812,2.902605,0.9913845,2.8575697,0.78285295,2.7631922,0.8232471,2.7006834,0.74644256,2.5310578,0.45208213,2.5793395,0.08403313,2.8127975,0.7105259,2.9612315,0.42575267,3.083454,0.10662651,2.6577423,1.468067,2.6981652,1.4769952,,,,,3.041476,0.030369341,,,,,2.5089185,0.042047203,,,,
1,-0.062312685,1.6051861,-0.08048795,1.471583,0.032153934,1.3855958,0.04126905,1.1272811,0.14718057,0.92709565,-0.20334296,1.4065692,-0.2546485,1.1424127,-0.22297487,0.9349419,-0.07896267,0.9741549,-0.025242873,0.8730744,-0.015342206,0.50430095,-0.02461765,0.12880272,-0.14333087,0.8752125,-0.17527887,0.4994852,-0.19790292,0.11533433,0.014068082,1.6469815,-0.03619045,1.6537063,,,,,-0.1483626,0.07391602,,,,,0.061273932,0.0824551,,,,
1,-0.067504,1.6063321,-0.067729294,1.469117,0.08511717,1.3792428,0.09742854,1.1201262,0.14780542,0.91992885,-0.22909293,1.4020852,-0.27828127,1.1391062,-0.30572036,0.92943853,-0.070726894,0.9706646,0.008876085,0.8709661,0.04135572,0.50108075,0.03450223,0.12626398,-0.14534515,0.87194407,-0.16705844,0.4988805,-0.17404419,0.11441976,-0.024540678,1.6532204,-0.088498645,1.6584637,,,,,-0.19892919,0.07017237,,,,,0.057039596,0.07971394,,,,
1,0.55033624,1.5915725,0.55450684,1.4476777,0.7475558,1.3372691,0.7505156,1.0705417,0.7962946,0.84090203,0.32094616,1.3610682,0.32038707,1.1038556,0.26315403,0.8795556,0.53110754,0.9413927,0.59250784,0.8311231,0.6581669,0.47249234,0.64822257,0.056782484,0.47285548,0.84194505,0.39249945,0.46674538,0.4450863,0.06476706,0.5715266,1.6200593,0.50406724,1.622142,,,,,0.3573615,0.014115274,,,,,0.71202916,0.006960571,,,,
2,2.7358227,1.4364932,2.7832491,1.3091668,2.7506435,1.2148535,2.8032036,0.9668614,2.8195007,0.76862776,2.860428,1.256192,2.8930237,0.98979294,2.8527524,0.7779335,2.751112,0.82112896,2.6891975,0.7445639,2.5170903,0.4533826,2.5792627,0.08535576,2.7996361,0.70808625,2.9502895,0.42387104,3.0794399,0.11198747,2.6494057,1.4670343,2.6902487,1.4755473,,,,,3.0402045,0.030753791,,,,,2.5093002,0.042927027,,,,
2,-0.062074706,1.6051748,-0.07952059,1.4712203,0.028767139,1.3863895,0.042124577,1.1279645,0.14922148,0.9281789,-0.20331496,1.4064723,-0.25492465,1.1423903,-0.22240734,0.93472534,-0.07886743,0.97354984,-0.024575368,0.8728088,-0.0154291615,0.50410473,-0.024526455,0.12857401,-0.14290455,0.874265,-0.1751487,0.49855074,-0.19619517,0.114310026,0.014278851,1.6473188,-0.035894647,1.6540166,,,,,-0.14315456,0.06441343,,,,,0.061274387,0.082151055,,,,
