frame,joint_0_x,joint_0_y,joint_1_x,joint_1_y,joint_2_x,joint_2_y,joint_3_x,joint_3_y,joint_4_x,joint_4_y,joint_5_x,joint_5_y,joint_6_x,joint_6_y,joint_7_x,joint_7_y,joint_8_x,joint_8_y,joint_9_x,joint_9_y,joint_10_x,joint_10_y,joint_11_x,joint_11_y,joint_12_x,joint_12_y,joint_13_x,joint_13_y,joint_14_x,joint_14_y,joint_15_x,joint_15_y,joint_16_x,joint_16_y,joint_17_x,joint_17_y,joint_18_x,joint_18_y,joint_19_x,joint_19_y,joint_20_x,joint_20_y,joint_21_x,joint_21_y,joint_22_x,joint_22_y,joint_23_x,joint_23_y,joint_24_x,joint_24_y
0,801.91583,189.02618,759.88135,215.13266,760.0701,204.84999,812.19727,178.68054,838.58984,126.10642,754.6216,220.37546,807.13995,194.3317,817.7936,157.696,728.4332,341.0831,728.5167,346.03793,733.77954,445.75458,728.7547,550.4778,728.4258,340.993,733.82,440.63208,728.5572,539.97754,796.668,178.58617,812.5047,183.81299,770.51807,178.44632,0.0,0.0,765.2822,566.1879,765.27026,560.79486,717.986,550.4358,775.74713,576.57184,754.8788,581.7679,723.3398,560.92084
1,807.0197,204.73944,765.1237,225.7196,749.6474,220.45757,796.69867,178.6403,822.9965,131.40877,770.4406,231.05374,807.24365,189.12515,817.4932,157.62146,733.617,351.5119,728.4743,351.55518,733.7731,456.28873,733.6086,555.8642,738.911,351.5336,738.9579,451.02777,728.48834,545.3496,796.6977,189.26274,807.27875,194.261,770.5941,189.00967,0.0,0.0,765.1392,581.8736,765.22217,571.3347,712.80554,555.8366,775.54626,587.08154,754.64026,592.20667,723.3692,566.2354
2,812.1411,220.52171,770.26434,241.3696,754.7705,230.8207,781.0339,178.62944,817.7456,136.64091,775.5492,252.02547,812.32794,204.69168,817.82245,168.18204,733.72577,367.15247,728.4336,367.05444,733.61945,477.04843,728.5089,571.53644,744.16473,367.19684,739.1786,476.97766,728.3663,566.17975,806.98914,209.95721,812.5606,220.3827,781.0806,204.81042,0.0,0.0,770.34564,597.6824,770.3419,592.2102,707.67535,576.6621,770.4471,602.8254,749.4553,607.92194,718.10345,587.0504
3,812.3557,241.60005,770.39417,257.15692,759.9418,241.60237,770.6515,194.39038,801.7325,147.26408,775.5729,267.5018,786.09766,215.34612,786.25635,178.55855,733.9126,382.8916,728.5712,382.80954,733.8611,487.50632,723.4555,581.9264,744.3334,382.988,744.3084,487.4787,723.4149,576.70654,812.3203,236.07011,817.48785,236.31175,796.5267,225.61961,0.0,0.0,765.27783,608.21594,765.35156,602.8344,707.6279,592.1788,770.44867,613.319,744.40906,613.4361,712.93353,592.466
4,817.5286,267.433,770.4706,272.819,754.89526,262.55493,765.1598,220.40121,791.4318,173.26035,775.8254,283.286,786.1963,241.32228,796.5786,230.9774,738.9539,403.75424,728.4965,398.77692,733.88727,503.45932,723.4305,602.94666,754.6832,403.8613,749.6048,508.45453,723.44464,592.35596,817.47437,251.98543,817.8199,262.23615,796.67773,241.31972,0.0,0.0,759.9764,623.9348,765.07684,613.474,707.63275,597.71857,760.11096,634.1855,739.1276,634.31055,712.9172,613.2636
5,817.68317,283.42343,770.37665,293.86993,759.831,288.6717,739.15326,262.4925,770.5284,220.33646,775.78174,304.19257,0.0,0.0,0.0,0.0,744.1485,424.661,733.59906,419.57327,739.06177,524.09503,723.28345,618.63257,759.8418,424.74582,749.5504,524.2364,723.24664,618.4966,817.65216,272.98914,812.4121,278.22113,796.74866,262.4341,0.0,0.0,760.1221,655.11847,765.1094,644.87524,702.5147,629.02655,765.2602,655.2462,739.2371,655.2724,707.7405,629.1511
6,822.82697,309.52576,775.5197,319.88556,765.1427,314.72,734.0009,304.27426,754.69586,262.28693,781.0575,325.27264,775.7162,299.01624,765.34174,267.48962,744.23895,445.60318,733.70465,440.58377,739.2297,550.51086,723.1668,650.04315,759.87823,445.72812,749.61,555.6017,718.22577,644.69556,822.7162,299.05154,822.9651,304.43417,801.99475,283.35858,0.0,0.0,754.82074,681.2887,760.00616,671.0471,702.4344,649.93713,759.9503,681.54675,739.00616,686.5521,707.6635,660.3883
7,823.0043,330.5223,770.52454,340.93164,770.32635,335.59967,739.08234,340.92572,728.6711,320.0067,775.71625,346.1304,754.72327,319.9322,739.0636,309.51132,744.17334,476.9884,733.94476,472.02594,749.46796,576.5369,723.15533,676.27014,749.6394,477.05942,754.6949,576.75964,723.27136,670.9311,822.9162,319.9546,817.43384,325.31247,807.0034,309.41214,0.0,0.0,765.1016,707.5587,765.06366,697.0964,702.503,681.19855,760.04065,707.70355,739.11066,712.71985,707.60236,686.5861
8,833.3338,361.81308,781.1051,377.57718,775.5941,367.29114,744.306,388.03503,728.39636,372.5016,801.9547,382.80853,765.27594,377.5812,733.8769,361.91553,749.6618,508.46948,738.9574,503.35583,754.6721,608.091,718.20856,702.48773,765.2886,508.62885,759.8305,608.20087,723.4304,702.33563,833.20215,351.52795,822.8888,356.54004,812.31854,346.09317,0.0,0.0,765.0961,733.9663,765.2041,728.62415,707.6188,712.818,765.09155,738.95,739.0468,739.00916,707.49976,717.9202
9,838.69995,398.5197,780.96674,409.13025,775.6754,403.88586,733.75775,424.6901,702.4134,445.66425,796.6814,414.33603,749.5982,424.68417,717.98553,430.02927,754.8772,545.2392,739.0497,540.13995,754.71387,644.8597,728.36066,739.2319,770.50934,545.3264,759.9754,644.93176,728.51874,733.9218,838.47046,388.1649,838.4554,393.2626,812.2791,377.55173,0.0,0.0,770.40686,770.3154,770.30096,765.03064,712.7898,744.1819,765.2978,770.5899,744.33344,775.6083,712.86444,754.60535
