frame,joint_0_x,joint_0_y,joint_1_x,joint_1_y,joint_2_x,joint_2_y,joint_3_x,joint_3_y,joint_4_x,joint_4_y,joint_5_x,joint_5_y,joint_6_x,joint_6_y,joint_7_x,joint_7_y,joint_8_x,joint_8_y,joint_9_x,joint_9_y,joint_10_x,joint_10_y,joint_11_x,joint_11_y,joint_12_x,joint_12_y,joint_13_x,joint_13_y,joint_14_x,joint_14_y,joint_15_x,joint_15_y,joint_16_x,joint_16_y,joint_17_x,joint_17_y,joint_18_x,joint_18_y,joint_19_x,joint_19_y,joint_20_x,joint_20_y,joint_21_x,joint_21_y,joint_22_x,joint_22_y,joint_23_x,joint_23_y,joint_24_x,joint_24_y
0,801.91583,974.27322,759.88135,948.1667400000001,760.0701,958.4494100000002,812.19727,984.61886,838.58984,1037.19298,754.6216,942.9239400000001,807.13995,968.9677000000001,817.7936,1005.6034000000001,728.4332,822.2163,728.5167,817.2614700000001,733.77954,717.5448200000001,728.7547,612.8216000000001,728.4258,822.3064000000002,733.82,722.6673200000001,728.5572,623.3218600000001,796.668,984.7132300000001,812.5047,979.4864100000001,770.51807,984.8530800000001,0.0,1163.2994,765.2822,597.1115000000001,765.27026,602.5045400000001,717.986,612.8636000000001,775.74713,586.7275600000002,754.8788,581.5315,723.3398,602.3785600000001
1,804.467765,966.41659,762.502525,942.87327,754.85875,950.6456200000001,804.4479699999999,984.6389800000001,830.7931699999999,1034.541805,762.5310999999999,937.5848000000001,807.1918000000001,971.5709750000001,817.6433999999999,1005.64067,731.0251000000001,817.0019000000001,728.4955,814.5028450000001,733.7763199999999,712.2777450000001,731.18165,610.1284,733.6684,817.0361000000001,736.38895,717.4694750000001,728.52277,620.6358300000002,796.68285,979.374945,809.891725,974.2624050000002,770.5560849999999,979.5714050000001,0.0,1163.2994,765.2107,589.2686500000001,765.246215,597.2346200000002,715.39577,610.1632000000002,775.6466949999999,581.4727100000001,754.75953,576.3121150000001,723.3544999999999,599.7212800000001
2,807.0197,958.55996,765.1237,937.5798000000001,749.6474,942.8418300000001,796.69867,984.6591000000001,822.9965,1031.89063,770.4406,932.24566,807.24365,974.1742500000001,817.4932,1005.67794,733.617,811.7875000000001,728.4743,811.74422,733.7731,707.0106700000001,733.6086,607.4352000000001,738.911,811.7658000000001,738.9579,712.2716300000002,728.48834,617.9498000000001,796.6977,974.0366600000001,807.27875,969.0384000000001,770.5941,974.2897300000001,0.0,1163.2994,765.1392,581.4258000000001,765.22217,591.9647000000001,712.80554,607.4628000000001,775.54626,576.2178600000001,754.64026,571.0927300000001,723.3692,597.0640000000001
3,809.5804,950.6688250000001,767.6940199999999,929.7548000000002,752.20895,937.6602650000001,788.8662850000001,984.6645300000001,820.37105,1029.27456,772.9949,921.759795,809.785795,966.3909850000001,817.657825,1000.3976500000001,733.671385,803.9672150000001,728.45395,803.99459,733.696275,696.6308200000001,731.05875,599.5990800000002,741.537865,803.9341800000001,739.06825,699.2966850000001,728.42732,607.5347250000001,801.84342,963.689425,809.919675,955.9775500000001,775.83735,966.389355,0.0,1163.2994,767.74242,573.5214000000001,767.782035,581.5269500000002,710.2404449999999,597.05005,772.99668,568.3459300000002,752.04778,563.2350950000001,720.736325,586.6565
4,812.1411,942.7776900000001,770.26434,921.9298000000001,754.7705,932.4787000000001,781.0339,984.6699600000002,817.7456,1026.65849,775.5492,911.2739300000001,812.32794,958.6077200000001,817.82245,995.1173600000001,733.72577,796.1469300000001,728.4336,796.2449600000001,733.61945,686.25097,728.5089,591.7629600000001,744.16473,796.10256,739.1786,686.3217400000001,728.3663,597.1196500000001,806.98914,953.3421900000001,812.5606,942.9167000000001,781.0806,958.4889800000001,0.0,1163.2994,770.34564,565.6170000000001,770.3419,571.0892000000001,707.67535,586.6373000000001,770.4471,560.4740000000002,749.4553,555.3774600000002,718.10345,576.2490000000001
5,812.2484,932.2385200000001,770.329255,914.0361400000002,757.35615,927.0878650000001,775.8427,976.7894900000001,809.7390499999999,1021.3469050000001,775.56105,903.5357650000001,799.2128,953.2805000000001,802.0394,989.9291050000002,733.8191850000001,788.2773650000001,728.5024,788.3674100000001,733.740275,681.0220250000001,725.9822,586.5679800000001,744.249065,788.20698,741.7435,681.07122,725.8906,591.8562550000001,809.65472,940.28574,815.024225,934.9521750000001,788.8036500000001,948.0843850000001,0.0,1163.2994,767.811735,560.35023,767.84673,565.7771000000001,707.651625,578.87895,770.447885,555.2272000000002,746.93218,552.6203800000001,715.5184899999999,573.5412000000001
6,812.3557,921.6993500000001,770.39417,906.1424800000001,759.9418,921.69703,770.6515,968.90902,801.7325,1016.0353200000001,775.5729,895.7976000000001,786.09766,947.9532800000001,786.25635,984.7408500000001,733.9126,780.4078000000002,728.5712,780.4898600000001,733.8611,675.7930800000001,723.4555,581.3730000000002,744.3334,780.3114,744.3084,675.8207000000001,723.4149,586.5928600000001,812.3203,927.2292900000001,817.48785,926.9876500000001,796.5267,937.6797900000001,0.0,1163.2994,765.27783,555.0834600000001,765.35156,560.4650000000001,707.6279,571.1206000000001,770.44867,549.9804000000001,744.40906,549.8633000000001,712.93353,570.8334000000001
7,814.94215,908.7828750000001,770.4323850000001,898.3114400000002,757.4185299999999,911.2207500000001,767.90565,955.9036050000001,796.58215,1003.0371850000001,775.6991499999999,887.9055000000001,786.14698,934.9652000000001,791.417475,958.5314250000001,736.43325,769.9764800000002,728.53385,772.5061700000001,733.8741849999999,667.8165800000002,723.443,570.8628700000002,749.5083,769.8747500000001,746.9566,665.3327850000001,723.42977,578.7681500000001,814.897335,919.2716300000002,817.653875,914.0254500000001,796.602215,929.8297350000001,0.0,1163.2994,762.627115,547.2240300000001,765.2141999999999,555.1452000000002,707.630325,568.350715,765.279815,539.5471500000001,741.76833,539.4260750000001,712.925365,560.4346
8,817.5286,895.8664000000001,770.4706,890.4804000000001,754.89526,900.7444700000001,765.1598,942.8981900000001,791.4318,990.0390500000001,775.8254,880.0134,786.1963,921.9771200000001,796.5786,932.3220000000001,738.9539,759.5451600000001,728.4965,764.5224800000001,733.88727,659.8400800000002,723.4305,560.3527400000002,754.6832,759.4381000000001,749.6048,654.8448700000001,723.44464,570.9434400000001,817.47437,911.3139700000002,817.8199,901.0632500000002,796.67773,921.9796800000001,0.0,1163.2994,759.9764,539.3646000000001,765.07684,549.8254000000001,707.63275,565.5808300000001,760.11096,529.1139000000001,739.1276,528.9888500000001,712.9172,550.0358000000001
9,817.605885,887.8711850000001,770.423625,879.9549350000001,757.36313,887.686085,752.15653,921.8525450000001,780.9801,966.5009950000001,775.80357,869.5601150000001,393.09815,1042.6382600000002,398.2893,1047.8107,741.5512,749.0917800000001,731.04778,754.124305,736.47452,649.5222250000002,723.356975,552.5097850000002,757.2625,748.99584,749.5776,646.9539350000001,723.34564,557.8731200000002,817.563265,900.8121150000002,815.116,893.0707600000001,796.713195,911.4224900000002,0.0,1163.2994,760.04925,523.7727650000002,765.09312,534.1247800000001,705.073725,549.9268400000001,762.6855800000001,518.5835500000001,739.18235,518.5079250000001,710.32885,542.0920500000001
10,817.68317,879.87597,770.37665,869.42947,759.831,874.6277000000001,739.15326,900.8069,770.5284,942.9629400000001,775.78174,859.1068300000002,0.0,1163.2994,0.0,1163.2994,744.1485,738.6384,733.59906,743.7261300000001,739.06177,639.2043700000002,723.28345,544.6668300000001,759.8418,738.5535800000001,749.5504,639.0630000000001,723.24664,544.8028000000002,817.65216,890.3102600000001,812.4121,885.0782700000001,796.74866,900.8653000000002,0.0,1163.2994,760.1221,508.1809300000001,765.1094,518.4241600000001,702.5147,534.2728500000001,765.2602,508.05320000000006,739.2371,508.02700000000016,707.7405,534.1483000000001
11,820.2550699999999,866.8248050000001,772.948175,856.4216550000001,762.48685,861.60355,736.57708,879.9160200000001,762.61213,921.9877050000001,778.41962,848.5667950000002,387.8581,1013.7912800000001,382.67087,1029.5545900000002,744.1937250000001,728.16731,733.6518550000001,733.2208800000001,739.1457350000001,625.9964550000002,723.2251249999999,528.9615400000001,759.860015,728.0624300000002,749.5802,623.3803500000001,720.7362049999999,531.7033200000001,820.18418,877.2790600000001,817.6886,871.9717500000002,799.371705,890.4030600000001,0.0,1163.2994,757.4714200000001,495.09581500000013,762.5577800000001,505.3382300000001,702.4745499999999,523.8175600000001,762.6052500000001,494.9029250000001,739.1216300000001,492.38715000000013,707.702,518.5297
