frame,joint_0_x,joint_0_y,joint_1_x,joint_1_y,joint_2_x,joint_2_y,joint_3_x,joint_3_y,joint_4_x,joint_4_y,joint_5_x,joint_5_y,joint_6_x,joint_6_y,joint_7_x,joint_7_y,joint_8_x,joint_8_y,joint_9_x,joint_9_y,joint_10_x,joint_10_y,joint_11_x,joint_11_y,joint_12_x,joint_12_y,joint_13_x,joint_13_y,joint_14_x,joint_14_y,joint_15_x,joint_15_y,joint_16_x,joint_16_y,joint_17_x,joint_17_y,joint_18_x,joint_18_y,joint_19_x,joint_19_y,joint_20_x,joint_20_y,joint_21_x,joint_21_y,joint_22_x,joint_22_y,joint_23_x,joint_23_y,joint_24_x,joint_24_y
0,801.91583,974.27322,759.88135,948.1667400000001,760.0701,958.4494100000002,812.19727,984.61886,838.58984,1037.19298,754.6216,942.9239400000001,807.13995,968.9677000000001,817.7936,1005.6034000000001,728.4332,822.2163,728.5167,817.2614700000001,733.77954,717.5448200000001,728.7547,612.8216000000001,728.4258,822.3064000000002,733.82,722.6673200000001,728.5572,623.3218600000001,796.668,984.7132300000001,812.5047,979.4864100000001,770.51807,984.8530800000001,0.0,1163.2994,765.2822,597.1115000000001,765.27026,602.5045400000001,717.986,612.8636000000001,775.74713,586.7275600000002,754.8788,581.5315,723.3398,602.3785600000001
1,807.0197,958.55996,765.1237,937.5798000000001,749.6474,942.8418300000001,796.69867,984.6591000000001,822.9965,1031.89063,770.4406,932.24566,807.24365,974.1742500000001,817.4932,1005.67794,733.617,811.7875000000001,728.4743,811.74422,733.7731,707.0106700000001,733.6086,607.4352000000001,738.911,811.7658000000001,738.9579,712.2716300000002,728.48834,617.9498000000001,796.6977,974.0366600000001,807.27875,969.0384000000001,770.5941,974.2897300000001,0.0,1163.2994,765.1392,581.4258000000001,765.22217,591.9647000000001,712.80554,607.4628000000001,775.54626,576.2178600000001,754.64026,571.0927300000001,723.3692,597.0640000000001
2,812.1411,942.7776900000001,770.26434,921.9298000000001,754.7705,932.4787000000001,781.0339,984.6699600000002,817.7456,1026.65849,775.5492,911.2739300000001,812.32794,958.6077200000001,817.82245,995.1173600000001,733.72577,796.1469300000001,728.4336,796.2449600000001,733.61945,686.25097,728.5089,591.7629600000001,744.16473,796.10256,739.1786,686.3217400000001,728.3663,597.1196500000001,806.98914,953.3421900000001,812.5606,942.9167000000001,781.0806,958.4889800000001,0.0,1163.2994,770.34564,565.6170000000001,770.3419,571.0892000000001,707.67535,586.6373000000001,770.4471,560.4740000000002,749.4553,555.3774600000002,718.10345,576.2490000000001
3,812.3557,921.6993500000001,770.39417,906.1424800000001,759.9418,921.69703,770.6515,968.90902,801.7325,1016.0353200000001,775.5729,895.7976000000001,786.09766,947.9532800000001,786.25635,984.7408500000001,733.9126,780.4078000000002,728.5712,780.4898600000001,733.8611,675.7930800000001,723.4555,581.3730000000002,744.3334,780.3114,744.3084,675.8207000000001,723.4149,586.5928600000001,812.3203,927.2292900000001,817.48785,926.9876500000001,796.5267,937.6797900000001,0.0,1163.2994,765.27783,555.0834600000001,765.35156,560.4650000000001,707.6279,571.1206000000001,770.44867,549.9804000000001,744.40906,549.8633000000001,712.93353,570.8334000000001
4,817.5286,895.8664000000001,770.4706,890.4804000000001,754.89526,900.7444700000001,765.1598,942.8981900000001,791.4318,990.0390500000001,775.8254,880.0134,786.1963,921.9771200000001,796.5786,932.3220000000001,738.9539,759.5451600000001,728.4965,764.5224800000001,733.88727,659.8400800000002,723.4305,560.3527400000002,754.6832,759.4381000000001,749.6048,654.8448700000001,723.44464,570.9434400000001,817.47437,911.3139700000002,817.8199,901.0632500000002,796.67773,921.9796800000001,0.0,1163.2994,759.9764,539.3646000000001,765.07684,549.8254000000001,707.63275,565.5808300000001,760.11096,529.1139000000001,739.1276,528.9888500000001,712.9172,550.0358000000001
5,817.68317,879.87597,770.37665,869.42947,759.831,874.6277000000001,739.15326,900.8069,770.5284,942.9629400000001,775.78174,859.1068300000002,0.0,1163.2994,0.0,1163.2994,744.1485,738.6384,733.59906,743.7261300000001,739.06177,639.2043700000002,723.28345,544.6668300000001,759.8418,738.5535800000001,749.5504,639.0630000000001,723.24664,544.8028000000002,817.65216,890.3102600000001,812.4121,885.0782700000001,796.74866,900.8653000000002,0.0,1163.2994,760.1221,508.1809300000001,765.1094,518.4241600000001,702.5147,534.2728500000001,765.2602,508.05320000000006,739.2371,508.02700000000016,707.7405,534.1483000000001
6,822.82697,853.7736400000001,775.5197,843.4138400000002,765.1427,848.5794000000001,734.0009,859.0251400000001,754.69586,901.0124700000001,781.0575,838.0267600000001,775.7162,864.2831600000002,765.34174,895.80978,744.23895,717.69622,733.70465,722.7156300000001,739.2297,612.7885400000001,723.1668,513.2562500000001,759.87823,717.5712800000001,749.61,607.6977,718.22577,518.6038400000001,822.7162,864.2478600000002,822.9651,858.8652300000001,801.99475,879.94082,0.0,1163.2994,754.82074,482.01070000000016,760.00616,492.2523000000001,702.4344,513.3622700000001,759.9503,481.75265000000013,739.00616,476.7473000000001,707.6635,502.91110000000015
7,823.0043,832.7771000000001,770.52454,822.3677600000001,770.32635,827.69973,739.08234,822.3736800000001,728.6711,843.2927000000001,775.71625,817.1690000000001,754.72327,843.3672000000001,739.0636,853.78808,744.17334,686.3110000000001,733.94476,691.2734600000001,749.46796,586.7625000000002,723.15533,487.02926000000014,749.6394,686.2399800000001,754.6949,586.5397600000001,723.27136,492.3683000000001,822.9162,843.3448000000001,817.43384,837.98693,807.0034,853.8872600000001,0.0,1163.2994,765.1016,455.74070000000006,765.06366,466.2030000000001,702.503,482.10085000000015,760.04065,455.59585000000015,739.11066,450.57955000000015,707.60236,476.7133000000001
8,833.3338,801.4863200000001,781.1051,785.7222200000001,775.5941,796.0082600000001,744.306,775.2643700000001,728.39636,790.7978,801.9547,780.4908700000001,765.27594,785.7182,733.8769,801.3838700000001,749.6618,654.8299200000001,738.9574,659.9435700000001,754.6721,555.2084000000001,718.20856,460.81167000000005,765.2886,654.67055,759.8305,555.0985300000001,723.4304,460.96377000000007,833.20215,811.7714500000002,822.8888,806.7593600000001,812.31854,817.2062300000001,0.0,1163.2994,765.0961,429.33310000000006,765.2041,434.6752500000001,707.6188,450.4814000000001,765.09155,424.34940000000006,739.0468,424.29024000000015,707.49976,445.3792000000001
9,838.69995,764.7797,780.96674,754.1691500000002,775.6754,759.4135400000001,733.75775,738.6093000000001,702.4134,717.6351500000001,796.6814,748.9633700000002,749.5982,738.6152300000001,717.98553,733.2701300000001,754.8772,618.0602000000001,739.0497,623.1594500000001,754.71387,518.4397000000001,728.36066,424.0675000000001,770.50934,617.9730000000001,759.9754,518.36764,728.51874,429.37760000000014,838.47046,775.1345000000001,838.4554,770.0368000000001,812.2791,785.7476700000001,0.0,1163.2994,770.40686,392.98400000000015,770.30096,398.26876000000016,712.7898,419.11750000000006,765.2978,392.70950000000016,744.33344,387.6911000000001,712.86444,408.69405000000006
