Video,Frame,Persona,Articulación,X,Y,Confianza
0,0,0,0,801.91583,189.02618,0.8131589
0,0,0,1,759.88135,215.13266,0.8363105
0,0,0,2,760.0701,204.84999,0.9166006
0,0,0,3,812.19727,178.68054,0.8893792
0,0,0,4,838.58984,126.10642,0.8820809
0,0,0,5,754.6216,220.37546,0.7785415
0,0,0,6,807.13995,194.3317,0.30665082
0,0,0,7,817.7936,157.696,0.1749858
0,0,0,8,728.4332,341.0831,0.87648916
0,0,0,9,728.5167,346.03793,0.9138227
0,0,0,10,733.77954,445.75458,0.8799423
0,0,0,11,728.7547,550.4778,0.88968855
0,0,0,12,728.4258,340.993,0.8540225
0,0,0,13,733.82,440.63208,0.8127218
0,0,0,14,728.5572,539.97754,0.77312595
0,0,0,15,796.668,178.58617,0.85004574
0,0,0,16,812.5047,183.81299,0.1300122
0,0,0,17,770.51807,178.44632,0.9512055
0,0,0,18,0.0,0.0,0.0
0,0,0,19,765.2822,566.1879,0.361816
0,0,0,20,765.27026,560.79486,0.36768448
0,0,0,21,717.986,550.4358,0.4139615
0,0,0,22,775.74713,576.57184,0.85110164
0,0,0,23,754.8788,581.7679,0.83776265
0,0,0,24,723.3398,560.92084,0.85060227
0,1,0,0,807.0197,204.73944,0.8414106
0,1,0,1,765.1237,225.7196,0.88913965
0,1,0,2,749.6474,220.45757,0.8948444
0,1,0,3,796.69867,178.6403,0.8399974
0,1,0,4,822.9965,131.40877,0.8716046
0,1,0,5,770.4406,231.05374,0.8260783
0,1,0,6,807.24365,189.12515,0.43175113
0,1,0,7,817.4932,157.62146,0.25668994
0,1,0,8,733.617,351.5119,0.8949499
0,1,0,9,728.4743,351.55518,0.92989284
0,1,0,10,733.7731,456.28873,0.8726864
0,1,0,11,733.6086,555.8642,0.9018552
0,1,0,12,738.911,351.5336,0.87088233
0,1,0,13,738.9579,451.02777,0.8322185
0,1,0,14,728.48834,545.3496,0.8434176
0,1,0,15,796.6977,189.26274,0.8510715
0,1,0,16,807.27875,194.261,0.30816275
0,1,0,17,770.5941,189.00967,0.8497689
0,1,0,18,0.0,0.0,0.0
0,1,0,19,765.1392,581.8736,0.40597022
0,1,0,20,765.22217,571.3347,0.4184869
0,1,0,21,712.80554,555.8366,0.52536
0,1,0,22,775.54626,587.08154,0.8524493
0,1,0,23,754.64026,592.20667,0.8458991
0,1,0,24,723.3692,566.2354,0.8478682
0,2,0,0,812.1411,220.52171,0.9117762
0,2,0,1,770.26434,241.3696,0.86258906
0,2,0,2,754.7705,230.8207,0.8970099
0,2,0,3,781.0339,178.62944,0.8810229
0,2,0,4,817.7456,136.64091,0.9196332
0,2,0,5,775.5492,252.02547,0.80231404
0,2,0,6,812.32794,204.69168,0.51754194
0,2,0,7,817.82245,168.18204,0.21135852
0,2,0,8,733.72577,367.15247,0.877698
0,2,0,9,728.4336,367.05444,0.9122817
0,2,0,10,733.61945,477.04843,0.91183305
0,2,0,11,728.5089,571.53644,0.905673
0,2,0,12,744.16473,367.19684,0.8606325
0,2,0,13,739.1786,476.97766,0.87229663
0,2,0,14,728.3663,566.17975,0.8624762
0,2,0,15,806.98914,209.95721,0.8704479
0,2,0,16,812.5606,220.3827,0.54161155
0,2,0,17,781.0806,204.81042,0.76834565
0,2,0,18,0.0,0.0,0.0
0,2,0,19,770.34564,597.6824,0.4930628
0,2,0,20,770.3419,592.2102,0.4970656
0,2,0,21,707.67535,576.6621,0.50537395
0,2,0,22,770.4471,602.8254,0.8533848
0,2,0,23,749.4553,607.92194,0.84788513
0,2,0,24,718.10345,587.0504,0.81044304
0,3,0,0,812.3557,241.60005,0.88333815
0,3,0,1,770.39417,257.15692,0.8768182
0,3,0,2,759.9418,241.60237,0.85501444
0,3,0,3,770.6515,194.39038,0.8993941
0,3,0,4,801.7325,147.26408,0.8913252
0,3,0,5,775.5729,267.5018,0.8373726
0,3,0,6,786.09766,215.34612,0.3958357
0,3,0,7,786.25635,178.55855,0.09158768
0,3,0,8,733.9126,382.8916,0.8864223
0,3,0,9,728.5712,382.80954,0.92578274
0,3,0,10,733.8611,487.50632,0.8968816
0,3,0,11,723.4555,581.9264,0.8715062
0,3,0,12,744.3334,382.988,0.8594559
0,3,0,13,744.3084,487.4787,0.87660193
0,3,0,14,723.4149,576.70654,0.87367207
0,3,0,15,812.3203,236.07011,0.87799346
0,3,0,16,817.48785,236.31175,0.29649714
0,3,0,17,796.5267,225.61961,0.8367137
0,3,0,18,0.0,0.0,0.0
0,3,0,19,765.27783,608.21594,0.5013034
0,3,0,20,765.35156,602.8344,0.52080756
0,3,0,21,707.6279,592.1788,0.5649821
0,3,0,22,770.44867,613.319,0.8455275
0,3,0,23,744.40906,613.4361,0.82483786
0,3,0,24,712.93353,592.466,0.8029775
0,4,0,0,817.5286,267.433,0.9269967
0,4,0,1,770.4706,272.819,0.8759286
0,4,0,2,754.89526,262.55493,0.8492255
0,4,0,3,765.1598,220.40121,0.8484239
0,4,0,4,791.4318,173.26035,0.8660983
0,4,0,5,775.8254,283.286,0.80543274
0,4,0,6,786.1963,241.32228,0.40567645
0,4,0,7,796.5786,230.9774,0.09164478
0,4,0,8,738.9539,403.75424,0.9039515
0,4,0,9,728.4965,398.77692,0.952562
0,4,0,10,733.88727,503.45932,0.89754015
0,4,0,11,723.4305,602.94666,0.9227582
0,4,0,12,754.6832,403.8613,0.8675945
0,4,0,13,749.6048,508.45453,0.8554527
0,4,0,14,723.44464,592.35596,0.8625104
0,4,0,15,817.47437,251.98543,0.9276972
0,4,0,16,817.8199,262.23615,0.23722427
0,4,0,17,796.67773,241.31972,0.8629193
0,4,0,18,0.0,0.0,0.0
0,4,0,19,759.9764,623.9348,0.48548016
0,4,0,20,765.07684,613.474,0.49302623
0,4,0,21,707.63275,597.71857,0.52815306
0,4,0,22,760.11096,634.1855,0.9166206
0,4,0,23,739.1276,634.31055,0.9182211
0,4,0,24,712.9172,613.2636,0.8473141
0,5,0,0,817.68317,283.42343,0.9218408
0,5,0,1,770.37665,293.86993,0.8754052
0,5,0,2,759.831,288.6717,0.83876693
0,5,0,3,739.15326,262.4925,0.8438146
0,5,0,4,770.5284,220.33646,0.820548
0,5,0,5,775.78174,304.19257,0.8558381
0,5,0,6,0.0,0.0,0.0
0,5,0,7,0.0,0.0,0.0
0,5,0,8,744.1485,424.661,0.8835186
0,5,0,9,733.59906,419.57327,0.9290143
0,5,0,10,739.06177,524.09503,0.9401423
0,5,0,11,723.28345,618.63257,0.89607143
0,5,0,12,759.8418,424.74582,0.8694757
0,5,0,13,749.5504,524.2364,0.88707596
