frame,joint_0_x,joint_0_y,joint_1_x,joint_1_y,joint_2_x,joint_2_y,joint_3_x,joint_3_y,joint_4_x,joint_4_y,joint_5_x,joint_5_y,joint_6_x,joint_6_y,joint_7_x,joint_7_y,joint_8_x,joint_8_y,joint_9_x,joint_9_y,joint_10_x,joint_10_y,joint_11_x,joint_11_y,joint_12_x,joint_12_y,joint_13_x,joint_13_y,joint_14_x,joint_14_y,joint_15_x,joint_15_y,joint_16_x,joint_16_y,joint_17_x,joint_17_y,joint_18_x,joint_18_y,joint_19_x,joint_19_y,joint_20_x,joint_20_y,joint_21_x,joint_21_y,joint_22_x,joint_22_y,joint_23_x,joint_23_y,joint_24_x,joint_24_y
0,1.937639937,1.6052635,1.91949479,1.4717087,2.032393873,1.3856323,2.04123944,1.127324,2.14721179,0.92721176,1.79677892,1.4065527,1.74521652,1.1424481,1.77686965,0.93493396,1.92109445,0.97441703,1.974679627,0.8731243,1.984742686,0.5044291,1.975458596,0.128936,1.85657692,0.8756536,1.8223449600000001,0.50016356,1.80235898,0.11586243,2.014062822,1.6470225,1.96383335,1.6537626,,,,,1.85299718,0.07507253,,,,,2.061176494,0.08256894,,,,
1,1.937687315,1.6051861,1.91951205,1.471583,2.032153934,1.3855958,2.04126905,1.1272811,2.14718057,0.92709565,1.79665704,1.4065692,1.7453515,1.1424127,1.77702513,0.9349419,1.92103733,0.9741549,1.974757127,0.8730744,1.984657794,0.50430095,1.97538235,0.12880272,1.85666913,0.8752125,1.82472113,0.4994852,1.80209708,0.11533433,2.014068082,1.6469815,1.96380955,1.6537063,,,,,1.8516374,0.07391602,,,,,2.061273932,0.0824551,,,,
2,1.937925294,1.6051748,1.92047941,1.4712203,2.028767139,1.3863895,2.042124577,1.1279645,2.14922148,0.9281789,1.79668504,1.4064723,1.74507535,1.1423903,1.77759266,0.93472534,1.92113257,0.97354984,1.975424632,0.8728088,1.9845708385,0.50410473,1.975473545,0.12857401,1.85709545,0.874265,1.8248513,0.49855074,1.80380483,0.114310026,2.014278851,1.6473188,1.9641053529999999,1.6540166,,,,,1.85684544,0.06441343,,,,,2.061274387,0.082151055,,,,
3,1.938173093,1.6048548,1.9207786,1.4710801,2.028926015,1.3858606,2.04350605,1.1275146,2.14082797,0.9235493,1.79656288,1.4063025,1.74522072,1.1421939,1.77705032,0.9343748,1.92097655,0.9736654,1.97541925,0.87287706,1.98439201,0.5042398,1.975590669,0.1287002,1.85709956,0.8743642,1.82385178,0.49877074,1.8042342,0.114452064,2.014468454,1.6474326,1.96441125,1.6539867,,,,,1.8592701,0.06380737,,,,,2.061252534,0.08225173,,,,
4,1.93804952,1.6047869,1.920644686,1.4710209,2.028972223,1.3856333,2.043281347,1.1272727,2.14088088,0.92342526,1.79622905,1.4062585,1.7453305000000001,1.1420509,1.77667248,0.9343146,1.92099607,0.97369254,1.975420553,0.87284565,1.984332263,0.5042584,1.97585009,0.1287092,1.85715136,0.8744249,1.82369807,0.4988548,1.80476108,0.11450368,2.014354564,1.6474376,1.964343764,1.65395,,,,,1.86004525,0.063750625,,,,,2.061629087,0.082357466,,,,
5,1.93778932,1.6047544,1.92040227,1.4710653,2.028641477,1.3855621,2.043924034,1.1271933,2.14122932,0.9230672,1.7958498,1.4059315,1.7456633400000001,1.1416857,1.7769556,0.9327146,1.92120923,0.9741914,1.975471213,0.8729659,1.984190144,0.5045363,1.976094205,0.12897909,1.8572962,0.87519854,1.82289723,0.49975032,1.80454789,0.11536968,2.014056519,1.6476532,1.96402385,1.6543708,,,,,1.8604974699999999,0.06978512,,,,,2.061922,0.0829134,,,,
6,1.93753668,1.6047488,1.92016581,1.4710615,2.028385565,1.3855333,2.044094026,1.1271667,2.14119273,0.922946,1.79566118,1.4060231,1.7451337,1.1418725,1.77670464,0.93268245,1.92129023,0.97429496,1.97555592,0.87300146,1.984078139,0.5046271,1.97602849,0.12907046,1.85742861,0.87533736,1.82245293,0.49995416,1.80461025,0.115549505,2.013845272,1.647639,1.963845298,1.6543884,,,,,1.8603088,0.07003206,,,,,2.061883695,0.08319503,,,,
7,1.93729624,1.6048073,1.92000795,1.4710891,2.02830039,1.3856314,2.044091433,1.1272647,2.1407674,0.9228599,1.79547472,1.4061421,1.74533316,1.1419214,1.7764979300000001,0.93269056,1.921272725,0.97430056,1.975561544,0.8730633,1.98404415,0.5046574,1.975946806,0.12910622,1.85745248,0.87529635,1.82308859,0.4998348,1.8040807,0.11548513,2.013596803,1.6476533,1.96357033,1.6544139,,,,,1.85675585,0.06999016,,,,,2.061782375,0.08312923,,,,
8,1.93706067,1.6048435,1.91985705,1.4711088,2.028258853,1.385684,2.044035174,1.1273191,2.14017206,0.9227254,1.79534361,1.40622,1.74525696,1.1419966,1.77633253,0.9327456,1.92120641,0.9743089,1.975497939,0.8730893,1.984052971,0.50467366,1.975930598,0.12912494,1.85740164,0.8752902,1.82318047,0.49981287,1.80414711,0.11546403,2.013348326,1.6476524,1.963289697,1.6544335,,,,,1.8556247,0.07017732,,,,,2.061856203,0.083205044,,,,
9,1.93684467,1.6049076,1.91981509,1.4711399,2.028188072,1.3856552,2.044047065,1.1272936,2.13996828,0.92262685,1.7953099,1.4062105,1.74505788,1.1420231,1.77621236,0.932748,1.92112998,0.97432524,1.975330077,0.873058,1.984028302,0.50463426,1.976019412,0.12908602,1.8572697200000001,0.8753575,1.82270613,0.49992025,1.80405585,0.115552545,2.013079859,1.6477888,1.96298032,1.6545944,,,,,1.8568505,0.070373535,,,,,2.061952777,0.08319658,,,,
