frame,joint_0_x,joint_0_y,joint_1_x,joint_1_y,joint_2_x,joint_2_y,joint_3_x,joint_3_y,joint_4_x,joint_4_y,joint_5_x,joint_5_y,joint_6_x,joint_6_y,joint_7_x,joint_7_y,joint_8_x,joint_8_y,joint_9_x,joint_9_y,joint_10_x,joint_10_y,joint_11_x,joint_11_y,joint_12_x,joint_12_y,joint_13_x,joint_13_y,joint_14_x,joint_14_y,joint_15_x,joint_15_y,joint_16_x,joint_16_y,joint_17_x,joint_17_y,joint_18_x,joint_18_y,joint_19_x,joint_19_y,joint_20_x,joint_20_y,joint_21_x,joint_21_y,joint_22_x,joint_22_y,joint_23_x,joint_23_y,joint_24_x,joint_24_y
0,0.753374,1.440006,0.8027964000000001,1.3132844,0.7743730000000002,1.2214633,0.8324113,0.97552526,0.850206,0.77968687,0.8791733000000002,1.2594225,0.9126642,0.9937452,0.8628843000000002,0.78895605,0.7750005999999998,0.8253263,0.7116215000000001,0.74796665,0.5452702,0.45082402,0.5785322000000002,0.08311963,0.8254196999999999,0.71290374,0.9713411000000001,0.4267261,1.0874226,0.10147196,0.6661850999999999,1.4691339,0.7063609999999998,1.4785556,,,,,1.0429513,0.029938102,,,,,0.5081462999999999,0.041373074,,,,
1,0.7445655000000002,1.4381336,0.7929469999999998,1.3111056,0.7624949999999999,1.2178656,0.8173195999999998,0.9707089,0.8354678,0.77393883,0.8698424999999999,1.2574812,0.9026049999999999,0.9913845,0.8575697,0.78285295,0.7631922000000002,0.8232471,0.7006834,0.74644256,0.5310578000000001,0.45208213,0.5793395000000001,0.08403313,0.8127974999999998,0.7105259,0.9612314999999998,0.42575267,1.0834540000000001,0.10662651,0.6577422999999998,1.468067,0.6981652,1.4769952,,,,,1.0414759999999998,0.030369341,,,,,0.5089185,0.042047203,,,,
2,0.7358226999999999,1.4364932,0.7832490999999999,1.3091668,0.7506434999999998,1.2148535,0.8032035999999998,0.9668614,0.8195006999999999,0.76862776,0.8604280000000002,1.256192,0.8930237000000001,0.98979294,0.8527524,0.7779335,0.751112,0.82112896,0.6891975000000001,0.7445639,0.5170903,0.4533826,0.5792627000000001,0.08535576,0.7996360999999998,0.70808625,0.9502894999999998,0.42387104,1.0794399000000001,0.11198747,0.6494057,1.4670343,0.6902487000000002,1.4755473,,,,,1.0402045000000002,0.030753791,,,,,0.5093002000000002,0.042927027,,,,
3,0.7267334000000001,1.4353673,0.7737153000000001,1.3080374,0.7386906,1.2123137,0.7878196000000002,0.96332914,0.8025289999999998,0.7639009,0.8510249999999999,1.2555989,0.8836488999999998,0.9889582,0.8485133999999999,0.774205,0.7401049999999998,0.82025737,0.6785383,0.7434163,0.5044932000000002,0.45434052,0.5784313999999999,0.08706528,0.7880465999999999,0.70713603,0.9379919999999999,0.42091557,1.0757244,0.11792654,0.6406076,1.4661007,0.6818472999999998,1.4742992,,,,,1.0389135,0.031332374,,,,,0.5092045999999999,0.0436911,,,,
4,0.7173425999999998,1.4347947,0.7640630000000002,1.3075523,0.7267190000000001,1.2100787,0.7711494000000001,0.9599192,0.7837204999999998,0.75960493,0.8412278,1.2556616,0.8752053000000002,0.9889957,0.8449914000000001,0.77193743,0.7295829999999999,0.82038516,0.6687666999999999,0.74305856,0.4932631999999999,0.4548269,0.5769739999999999,0.08885735,0.7767396,0.70721835,0.9247011999999999,0.41785723,1.0717824,0.12462878,0.6314852000000002,1.4658844,0.6729462000000002,1.473604,,,,,1.0374465000000002,0.03237647,,,,,0.5082545,0.044086635,,,,
5,0.7077931999999998,1.4348068,0.7538314000000002,1.3073297,0.7148629999999998,1.2087433,0.75577,0.95778495,0.7622353999999998,0.7560856,0.8312626000000001,1.256416,0.8673277000000001,0.98987746,0.8420646,0.7710071,0.719144,0.82040083,0.6585657999999999,0.743,0.4822757000000002,0.45397675,0.5757026999999999,0.09001088,0.765333,0.70703375,0.9107020000000001,0.41329557,1.0677590000000001,0.13149571,0.6222718,1.4664414,0.6639588000000001,1.4736032,,,,,1.0361197,0.034047306,,,,,0.5072044999999998,0.04435444,,,,
6,0.6983031999999998,1.4351628,0.7437680000000002,1.3075712,0.703287,1.2081044,0.740647,0.95644104,0.7404525,0.7529066,0.8210497000000001,1.2572114,0.8605942999999998,0.9910472,0.839143,0.77105755,0.7080929999999999,0.8214353,0.648609,0.74266833,0.47239450000000005,0.4516927,0.5751262000000001,0.090177536,0.7537541000000001,0.70838225,0.895435,0.40931764,1.0620725000000002,0.14007217,0.6133009999999999,1.4676125,0.6554064999999998,1.4742486,,,,,1.0340060000000002,0.037541986,,,,,0.5066253999999999,0.044280708,,,,
7,0.6886597000000001,1.4355708,0.7334117999999998,1.3079486,0.691916,1.2076596,0.7253715999999999,0.95533955,0.7179213,0.75039494,0.8104930000000001,1.2585741,0.8538450000000002,0.99291635,0.8357999999999999,0.7725234,0.6973726999999998,0.82217044,0.6383497999999999,0.7426925,0.4641074999999999,0.44843185,0.5755745999999999,0.08965856,0.7423277000000001,0.709211,0.8780277000000001,0.40235382,1.055923,0.14880848,0.6043164999999999,1.4690707,0.6469149999999999,1.4750998,,,,,1.0314640000000002,0.041578233,,,,,0.5066601999999998,0.0441007,,,,
8,0.6790569999999998,1.4364257,0.7227464000000001,1.3086952,0.6802299999999999,1.2075224,0.7088100000000002,0.95459086,0.6943432999999999,0.7484537,0.8007499999999999,1.2595654,0.8461506000000001,0.99422324,0.8327089999999999,0.77343315,0.6868970000000001,0.8228343,0.628333,0.74263436,0.4568523999999998,0.44466826,0.5763736000000002,0.08881605,0.7311112999999998,0.7099922,0.858841,0.39454657,1.0478494,0.15780574,0.5952888000000001,1.4709018,0.6382564999999998,1.4764214,,,,,1.0266256,0.046260655,,,,,0.5069340000000002,0.043352902,,,,
9,0.6693929999999999,1.4373343,0.7118017999999999,1.3092843,0.6685726999999999,1.2078509,0.6910943999999999,0.9540553,0.6701576999999999,0.7470623,0.7910783000000001,1.2603666,0.8379698000000002,0.99527717,0.8303688,0.77437353,0.6770794000000002,0.8238751,0.6188628999999999,0.74253607,0.4503233,0.44075048,0.5770930000000001,0.08784282,0.7210654999999999,0.7114024,0.8384933000000001,0.3863565,1.0380845,0.16684526,0.5860859999999999,1.4726735,0.6292338000000002,1.4776075,,,,,1.0205183,0.05126804,,,,,0.5070557999999998,0.042086124,,,,
