frame,joint_0_x,joint_0_y,joint_1_x,joint_1_y,joint_2_x,joint_2_y,joint_3_x,joint_3_y,joint_4_x,joint_4_y,joint_5_x,joint_5_y,joint_6_x,joint_6_y,joint_7_x,joint_7_y,joint_8_x,joint_8_y,joint_9_x,joint_9_y,joint_10_x,joint_10_y,joint_11_x,joint_11_y,joint_12_x,joint_12_y,joint_13_x,joint_13_y,joint_14_x,joint_14_y,joint_15_x,joint_15_y,joint_16_x,joint_16_y,joint_17_x,joint_17_y,joint_18_x,joint_18_y,joint_19_x,joint_19_y,joint_20_x,joint_20_y,joint_21_x,joint_21_y,joint_22_x,joint_22_y,joint_23_x,joint_23_y,joint_24_x,joint_24_y
0,19.62486118,1.6360338,19.63187236,1.4817171,19.77939147,1.450298,20.06668174,1.4373825,20.30703464,1.4597702,19.4703721,1.447046,19.1768899,1.3872945,18.9390054,1.4079185,19.61566174,0.955921,19.6856264,0.8543224,19.73017037,0.47015446,19.72861847,0.08114922,19.545735960000002,0.85879284,19.50277826,0.47184747,19.4942874,0.07346475,19.66924772,1.6904615,19.60651347,1.6965697,,,,,19.41882247,0.0374254,,,,,19.79852606,0.036803126,,,,
1,19.62473014,1.6360064,19.6317887,1.4817073,19.77920821,1.4505061,20.06648907,1.437373,20.30685332,1.459614,19.4703588,1.4471148,19.17687213,1.387387,18.9390436,1.4081175,19.61565995,0.95588666,19.68551284,0.85424244,19.72991127,0.46997538,19.72743738,0.08093774,19.54562852,0.8588494,19.50266713,0.47189,19.4942498,0.07348919,19.66918045,1.6904863,19.60645422,1.6966162,,,,,19.418719199999998,0.03749907,,,,,19.79801965,0.036748767,,,,
2,19.62470195,1.63603,19.63178682,1.4816802,19.77925442,1.4503853,20.06653768,1.4373007,20.30693376,1.4593818,19.470334049999998,1.4470439,19.17680806,1.3875232,18.9389789,1.408187,19.6155757,0.9558699,19.6854436,0.85421646,19.7298303,0.47000182,19.7275401,0.080947936,19.54555807,0.85881317,19.50266188,0.47190714,19.4941428,0.073488176,19.66914016,1.6905506,19.60641253,1.6966726,,,,,19.4188046,0.037387133,,,,,19.79818568,0.03691691,,,,
3,19.624451,1.6360909,19.63167492,1.4817142,19.77915296,1.4503922,20.06643736,1.4373212,20.30686244,1.4592538,19.47019494,1.447056,19.17666817,1.3875513,18.938881,1.4083409,19.6155119,0.9558978,19.68537843,0.8542405,19.72990882,0.47004834,19.72829723,0.081034005,19.5454865,0.8588566,19.50259805,0.47190446,19.4941753,0.07348639,19.66887575,1.6905534,19.60614657,1.6966555,,,,,19.4186744,0.037540436,,,,,19.79832952,0.036831558,,,,
4,19.6244513,1.6360819,19.6315997,1.481713,19.77908078,1.4503741,20.06636885,1.4373868,20.30681592,1.4592932,19.4701583,1.4471236,19.17661935,1.38769,18.938841,1.4085888,19.61546358,0.9559196,19.685351,0.8542725,19.7298057,0.4700825,19.72796535,0.081035435,19.54546142,0.8588536,19.50265926,0.47192574,19.49414945,0.07349491,19.6688923,1.690556,19.6061651,1.6966662,,,,,19.41862667,0.037593782,,,,,19.79825659,0.036839902,,,,
5,19.6243629,1.6360943,19.63151613,1.4817154,19.77899778,1.4503782,20.06628394,1.4373461,20.30674165,1.4592822,19.47009116,1.4471483,19.176545,1.387764,18.9387914,1.4087616,19.61541155,0.95592785,19.68529642,0.8542783,19.72974598,0.47009456,19.72791415,0.08103436,19.54540694,0.8588633,19.50264406,0.47194126,19.49413,0.073499024,19.66881254,1.6905757,19.60608658,1.6966823,,,,,19.4185785,0.037641406,,,,,19.79824223,0.03684795,,,,
6,19.62427917,1.6361108,19.63143593,1.4817196,19.77892524,1.4503651,20.06621045,1.4373084,20.30668044,1.4592702,19.4700209,1.4471693,19.17646617,1.3878412,18.938733,1.4089322,19.6153554,0.95594054,19.68524623,0.85429186,19.72970352,0.47012222,19.727966,0.08105266,19.54535633,0.85887045,19.50263852,0.47195476,19.4941128,0.0735026,19.66873428,1.6905925,19.60600907,1.6966932,,,,,19.4185387,0.037684917,,,,,19.79826757,0.03685832,,,,
7,19.62419567,1.6361258,19.6313522,1.4817257,19.77884567,1.4503604,20.0661298,1.4372829,20.30661365,1.4592526,19.46995103,1.4471986,19.1763884,1.3879237,18.9386739,1.4091064,19.61530304,0.95595515,19.68519852,0.8543081,19.72966462,0.47014794,19.72800487,0.08107126,19.54530838,0.8588811,19.50263268,0.47196788,19.49410033,0.073508084,19.66865927,1.6906039,19.60593528,1.696697,,,,,19.41849375,0.03773743,,,,,19.79827908,0.036856234,,,,
8,19.6241265,1.6361377,19.6312733,1.48173,19.77877009,1.450355,20.06605315,1.4372536,20.30654985,1.459238,19.4698882,1.4472288,19.1763172,1.3880072,18.9386188,1.4092779,19.6152512,0.9559685,19.68515,0.85432315,19.72961804,0.47017142,19.72798732,0.08108324,19.54526043,0.85889006,19.5026295,0.47198272,19.49408764,0.0735144,19.6686011,1.6906153,19.60587865,1.6967015,,,,,19.4184607,0.03777647,,,,,19.79827929,0.036860406,,,,
9,19.62405464,1.636152,19.6311951,1.4817352,19.77869597,1.450351,20.0659771,1.4372103,20.30648565,1.4592113,19.4698239,1.4472547,19.1762452,1.3880831,18.9385617,1.4094365,19.6152006,0.95598096,19.68510133,0.85433775,19.72958142,0.4701948,19.72799873,0.08109623,19.5452124,0.85889983,19.50261778,0.47199565,19.4940793,0.07351977,19.66854066,1.690628,19.60581988,1.6967045,,,,,19.41843295,0.03780985,,,,,19.7982867,0.0368644,,,,
10,19.62398735,1.6361668,19.63111904,1.481741,19.77862415,1.4503467,20.065903276,1.4371641,20.30642393,1.4591765,19.4697615,1.4472805,19.1761747,1.3881601,18.938503400000002,1.409588,19.61515152,0.9559936,19.68505386,0.854353,19.72955036,0.47021878,19.72801602,0.08111036,19.5451658,0.85890985,19.50260478,0.4720083,19.49407375,0.07352567,19.66848552,1.6906397,19.6057665,1.6967039,,,,,19.4184111,0.03783858,,,,,19.79829693,0.036867857,,,,
11,19.62392512,1.6361824,19.6310454,1.4817472,19.7785545,1.4503434,20.06583133,1.4371132,20.30636424,1.4591322,19.46970165,1.4473064,19.17610645,1.3882374,18.9384444,1.4097321,19.61510465,0.956006,19.68500778,0.8543682,19.72952324,0.47024184,19.7280315,0.08112419,19.5451208,0.85892004,19.50258985,0.47202024,19.4940705,0.073531866,19.66843608,1.6906512,19.605719,1.6967008,,,,,19.4183941,0.03786266,,,,,19.79830587,0.03687054,,,,
12,19.6238685,1.6361979,19.63097486,1.4817529,19.77848807,1.4503396,20.06576222,1.4370553,20.30630732,1.4590764,19.46964467,1.4473307,19.1760406,1.3883146,18.938385,1.4098684,19.61505994,0.956018,19.6849633,0.8543832,19.72949973,0.47026426,19.7280463,0.081137896,19.54507762,0.8589301,19.50257334,0.47203174,19.4940686,0.07353896,19.66839233,1.6906625,19.60567722,1.6966949,,,,,19.4183823,0.03788221,,,,,19.79831444,0.03687364,,,,
13,19.62381667,1.6362141,19.63090727,1.4817588,19.77842486,1.4503357,20.06569597,1.4369906,20.30625355,1.459009,19.46958995,1.4473541,19.1759765,1.3883922,18.9383247,1.409997,19.61501774,0.9560296,19.68492103,0.8543977,19.72948086,0.4702859,19.72806448,0.0811519,19.5450367,0.85894,19.5025553,0.47204208,19.4940682,0.07354581,19.6683528,1.6906741,19.60563967,1.6966864,,,,,19.4183742,0.037897527,,,,,19.79832363,0.03687644,,,,
14,19.62377033,1.6362302,19.63084313,1.4817642,19.77836525,1.4503305,20.06563288,1.436918,20.30620316,1.4589291,19.4695383,1.447376,19.1759148,1.3884708,18.9382643,1.4101202,19.6149783,0.9560408,19.6848813,0.85441184,19.7294655,0.4703066,19.72808233,0.08116591,19.54499847,0.8589495,19.50253665,0.47205162,19.49406874,0.073553324,19.6683177,1.6906853,19.60560647,1.6966755,,,,,19.41836894,0.037910104,,,,,19.798332,0.036879003,,,,
15,19.62372938,1.6362458,19.6307826,1.4817691,19.77830942,1.4503244,20.06557301,1.4368365,20.3061563,1.4588361,19.4694896,1.4473965,19.17585564,1.3885503,18.9382042,1.4102393,19.61494195,0.9560515,19.68484455,0.85442525,19.72945333,0.4703262,19.72809878,0.08117974,19.5449632,0.85895836,19.50251767,0.4720601,19.49406993,0.07356095,19.6682865,1.6906962,19.60557702,1.6966624,,,,,19.4183658,0.03792,,,,,19.7983392,0.036881506,,,,
16,19.62369356,1.6362607,19.63072583,1.4817731,19.77825761,1.4503163,20.06551671,1.4367447,20.30611345,1.45873,19.4694438,1.4474156,19.1757985,1.3886317,18.9381443,1.4103563,19.6149087,0.9560617,19.6848109,0.8544379,19.72944385,0.47034454,19.7281133,0.08119327,19.5449311,0.8589665,19.5024986,0.4720676,19.49407154,0.07356888,19.66825837,1.690707,19.605550440000002,1.6966474,,,,,19.41836417,0.037927806,,,,,19.79834506,0.03688407,,,,
17,19.62366286,1.6362741,19.630673260000002,1.4817761,19.77821016,1.450306,20.06546423,1.4366415,20.306074979999998,1.4586096,19.46940136,1.4474332,19.1757438,1.3887153,18.9380854,1.4104732,19.61487874,0.95607144,19.68478057,0.8544497,19.7294367,0.4703616,19.72812533,0.08120638,19.54490232,0.858974,19.5024796,0.47207415,19.4940731,0.07357705,19.66823295,1.690717,19.60552627,1.6966307,,,,,19.41836333,0.037934005,,,,,19.79834932,0.03688675,,,,
18,19.6236368,1.6362855,19.63062495,1.4817779,19.7781671,1.4502931,20.0654155,1.436526,20.30604088,1.4584742,19.4693623,1.4474498,19.17569166,1.388802,18.9380281,1.4105923,19.6148521,0.95608056,19.68475354,0.8544604,19.7294314,0.4703772,19.72813413,0.08121878,19.54487684,0.85898054,19.5024609,0.47207984,19.4940744,0.07358551,19.6682095,1.690726,19.6055037,1.6966126,,,,,19.41836286,0.037938893,,,,,19.79835193,0.036889553,,,,
19,19.6236153,1.6362948,19.63058108,1.4817786,19.77812874,1.4502769,20.06537083,1.4363973,20.30601156,1.4583229,19.46932673,1.4474653,19.1756419,1.3888928,18.9379725,1.4107155,19.61482874,0.95608926,19.68472964,0.85447025,19.72942746,0.47039154,19.72813922,0.08123076,19.54485452,0.8589866,19.5024423,0.47208518,19.49407524,0.07359481,19.66818768,1.6907339,19.60548252,1.6965933,,,,,19.418362600000002,0.037943244,,,,,19.79835287,0.03689289,,,,
20,19.62359798,1.6363015,19.6305418,1.481778,19.77809516,1.4502574,20.065330386,1.4362552,20.3059873,1.4581552,19.46929467,1.44748,19.1755947,1.3889881,18.9379191,1.4108441,19.61480853,0.9560975,19.6847087,0.854479,19.72942472,0.4704044,19.7281406,0.08124173,19.5448352,0.8589921,19.50242406,0.4720898,19.49407554,0.073604226,19.66816726,1.6907406,19.60546225,1.6965733,,,,,19.4183624,0.037946463,,,,,19.79835247,0.03689623,,,,
21,19.62358484,1.6363055,19.63050717,1.481776,19.7780664,1.4502344,20.065294206,1.4361007,20.30596828,1.4579704,19.4692663,1.4474943,19.17554975,1.3890896,18.9378679,1.4109797,19.6147913,0.95610535,19.68469048,0.8544869,19.72942275,0.47041586,19.72813827,0.08125192,19.54481855,0.85899717,19.50240612,0.47209445,19.49407506,0.07361466,19.6681483,1.6907457,19.60544312,1.6965524,,,,,19.4183621,0.03794974,,,,,19.7983509,0.036899805,,,,
22,19.62357593,1.6363065,19.63047725,1.4817729,19.77804253,1.4502076,20.06526235,1.4359344,20.30595452,1.4577677,19.4692418,1.4475086,19.17550755,1.3891973,18.9378197,1.4111235,19.61477676,0.956113,19.68467444,0.8544938,19.7294212,0.4704261,19.72813237,0.081261456,19.54480422,0.85900205,19.5023886,0.47209913,19.4940737,0.07362574,19.66813117,1.6907492,19.60542545,1.696531,,,,,19.41836154,0.03795278,,,,,19.79834826,0.03690356,,,,
23,19.62357098,1.6363047,19.63045174,1.4817684,19.7780232,1.4501771,20.0652346,1.4357579,20.30594587,1.4575475,19.46922094,1.4475229,19.17546767,1.3893124,18.9377742,1.4112756,19.61476448,0.95612043,19.68466026,0.8545,19.72942004,0.47043508,19.7281236,0.0812701,19.5447918,0.8590068,19.5023717,0.4721039,19.4940716,0.07363725,19.66811606,1.690751,19.60540956,1.6965096,,,,,19.41836095,0.03795564,,,,,19.79834531,0.036907136,,,,
24,19.6235756,1.636301,19.63043097,1.4817631,19.77800763,1.450144,20.06521019,1.4355704,20.30594113,1.4573156,19.46920264,1.447536,19.1754286,1.3894342,18.9377311,1.4114367,19.61475343,0.95612746,19.68464628,0.85450435,19.72941953,0.4704421,19.72811162,0.08127719,19.54477954,0.85901153,19.5023563,0.47210845,19.4940691,0.07364893,19.66810736,1.6907547,19.60539964,1.6964884,,,,,19.41836053,0.037958503,,,,,19.79834229,0.036910295,,,,
